runtime,1 card in a Pack,6 cards in a Pack
1,3468,2136
2,3129,2802
3,2157,2382
4,3146,2616
5,2648,3180
6,2895,3528
7,1991,2082
8,2062,2946
9,2538,2616
10,3417,2436
11,2694,2802
12,2158,2238
13,2645,1974
14,2560,3132
15,3266,2868
16,3732,2238
17,2715,3348
18,2242,2952
19,2835,3606
20,2722,2034
21,2873,2790
22,2452,2466
23,2694,2274
24,2355,2304
25,2686,3318
26,2505,2328
27,2681,3054
28,3496,2658
29,2692,2298
30,2584,3066
31,2763,2022
32,2710,3516
33,2437,3030
34,2412,2886
35,2038,2868
36,2590,2478
37,1879,2616
38,2269,3516
39,1961,3048
40,2198,2202
41,2745,3408
42,2613,2274
43,2576,2238
44,2015,3150
45,2875,2628
46,2169,2304
47,3108,4320
48,3049,2562
49,2623,2748
50,3905,3012
51,2995,2634
52,2730,2724
53,2184,2244
54,1981,3456
55,2656,2478
56,2697,2868
57,2556,1860
58,2560,2130
59,2208,2676
60,2535,4206
61,2495,2712
62,2602,2904
63,2135,2556
64,2317,2262
65,2290,1920
66,3638,2448
67,3503,2622
68,2056,2322
69,3200,2334
70,2550,3756
71,2278,2238
72,3138,1842
73,2109,2286
74,3052,3132
75,2601,2118
76,2491,3114
77,2261,2028
78,2946,2136
79,1885,2778
80,2035,2136
81,2523,2778
82,2352,3144
83,2851,3132
84,2774,3198
85,3084,2892
86,2190,2094
87,3172,3294
88,2586,2082
89,2658,2310
90,2758,2508
91,2047,2478
92,2695,2202
93,1937,3306
94,1845,2670
95,2565,2664
96,2479,2634
97,2278,2898
98,3077,2658
99,2047,2724
100,2141,2436
101,2174,2568
102,2820,2826
103,2561,2598
104,2351,2682
105,2040,2028
106,2584,2466
107,2498,2142
108,2108,2196
109,2050,2040
110,2042,2730
111,2163,2676
112,2500,2358
113,2174,3222
114,3179,3648
115,3348,2574
116,2550,2106
117,2874,2400
118,2487,2070
119,2766,2544
120,2393,2634
121,1943,2742
122,1696,2352
123,3766,2166
124,3172,2430
125,2516,4482
126,2619,2388
127,2696,2748
128,2830,2376
129,2856,1920
130,2683,1848
131,2875,2670
132,2260,2814
133,2253,2556
134,3155,2622
135,2840,2496
136,3386,3552
137,2408,2328
138,2762,2724
139,2188,1704
140,2853,2508
141,2839,2922
142,2906,2010
143,3440,2370
144,2312,1830
145,2247,3006
146,2888,2142
147,2740,3186
148,2758,2838
149,2996,2196
150,2211,2172
151,2886,2952
152,2428,2514
153,3118,3408
154,2025,2100
155,2655,2214
156,2285,2886
157,2858,2760
158,2919,2046
159,2477,2244
160,1857,2382
161,2153,2802
162,2508,2250
163,2212,2334
164,2798,3396
165,3392,2760
166,2877,2178
167,2327,2562
168,2233,2418
169,2172,2868
170,1900,1956
171,3116,2646
172,3534,2532
173,2547,2556
174,2294,2664
175,2333,1842
176,2960,2124
177,3384,2280
178,2556,3858
179,4623,1944
180,2251,1998
181,2499,2466
182,2719,2016
183,2415,2268
184,2230,2910
185,4123,4200
186,3050,2736
187,2200,3150
188,2178,2526
189,2090,1950
190,2504,1902
191,2713,3036
192,2560,4164
193,2116,2622
194,2437,2550
195,2996,2940
196,2651,2406
197,3239,2016
198,2727,2274
199,2408,2238
200,2539,3102
201,2602,2058
202,2473,2022
203,3716,1614
204,1910,2616
205,3086,2976
206,3973,3018
